org_uuid,betweenness_centrality
00003a2c-ad4d-ff61-997b-7b22b2320895,0.0
0000ed60-83b4-679a-18b8-4fc3475c7a39,0.0
000225db-f9db-c013-fb67-b347ba646e4a,0.0
0002da99-6654-1ecd-79c6-8064a01ebfa6,3.9087706198288956e-07
0004c2e0-9717-45af-8496-2a899f1276f0,0.0
000644d4-9e1b-3c90-4793-36d656d58f22,0.0
00072c6c-1d18-61b3-46b2-c647efcc3dd5,0.0
0008239e-a285-43a0-bfe2-e6815b7221b7,0.0
000ad7a8-b868-f301-5f00-2a3361288fc9,0.0
000daad6-2086-9fe2-fe11-96fed439e156,0.0
000e51ea-69ff-d5a9-362b-908a6ff7d718,0.0
000ede33-6c08-c865-e88e-0a59ec5daee8,2.961848514393137e-05
000f755c-5a63-7936-acf1-d90498b43f0d,0.0
00109a4e-b21f-98d1-7a8a-ed4649ec99e1,0.0
0012001b-4f06-98d2-b718-761e30abaa58,0.0
0012f446-a31b-9eb8-4fa0-448ed0414112,0.0
0013c0d4-2563-5e98-0110-191bca1b9129,6.869010214506687e-10
001477ce-009e-e3c8-61aa-bbad938f31da,0.0
0017e370-d941-822e-83bc-538beaab28da,0.0
0019667e-91b1-5b83-bb51-afb5b96eaf42,0.0
00198940-243d-49b6-759f-5f7b57d6f15b,0.0
001aa552-1a99-c275-1afb-648a3cc485bd,0.0
001d9b80-1d61-be41-23e8-468666fc12ea,0.0
001fb2d5-7755-775b-1b85-d5b347184b75,4.151479338134143e-05
00221166-34c2-488f-8552-34ab5743eb74,0.0
002333d8-110c-429b-b2a9-7cf4afd61b9d,0.0
0023affb-ca57-dad8-0d79-655bac1c15a8,0.0
002484ff-bde7-829a-69c0-3b5e2784aa77,0.0
00255089-a053-42c4-f388-71a1234449b2,1.4807238913395692e-05
0026ce96-2d54-246f-a485-bf7742c5939c,0.0
002744f8-d59f-c62d-6652-7bdb339341e3,0.0
00290ee1-0419-336c-8db7-1146fd58d5f9,0.0
002b8e1a-6f7b-310a-c56c-342928fb0c9c,0.0
002c5c33-6708-b407-2a3c-9222397590e6,1.2760551812931694e-05
002d06bc-916e-b5ae-68a4-13b8fc40055b,3.4223910192990686e-07
002dba78-a5db-27e4-feb9-eb432b51fdfc,0.00038170927061322756
002e0722-3014-453d-b55a-b5a912512a40,0.0
002e2488-7195-bd82-9f72-2a122a73aaf7,0.0
002f8715-7e27-c7f5-7190-8d2968cf7dc5,0.00028842573758878115
0030e50e-7c2d-a255-2ab8-259f4c5f633a,0.0
00337756-938c-bd48-80c3-1505a90a809e,2.9618485143931372e-05
003401c3-9398-e3da-97aa-bf9169ce83b0,0.0
0035ca31-681e-1f14-1cd5-7b41535f8c23,0.0
0037798d-729c-a8aa-f19d-2c61c326a928,0.0
0039b783-8f28-3623-faa2-272a10950729,0.0
003af4a2-74bc-83c1-58bd-f31717a17f6a,0.00029174240315195046
003b5038-5ec8-ef3b-b2fb-3b9b5936074e,0.0
003b7da7-7e0a-1ebe-c32c-19210e9dcbdd,8.355411636810772e-06
003c6bd5-404e-1a7c-9442-0a8d176133e1,0.0
003d89d4-47dc-e35a-ddf6-eda9940f3ba7,0.0007427449219542136
00408fcb-6e60-49eb-aea2-4c6c1edf6885,9.760354580506033e-05
0041fccf-ebbb-48ad-3091-b94350ef4d7c,0.0
004202e5-8e63-8af7-6271-f100e4943b0f,1.1409033175956391e-05
00432b9c-0b4d-367a-b625-9368a32c009d,0.0
0043814e-6627-b1a7-bf1c-ee59c76bfb15,0.0
00459778-b021-b63d-75a5-b972116e470b,0.0
00469bd1-6013-8431-f11d-648c03e94103,0.0
0046a893-0dfa-0e72-8c5a-314e4bc31746,0.0
0046e9ad-734f-c680-56b0-c9b10883c45e,0.0
0049348d-47c6-447c-8c61-59f6d48a6226,0.0
00496f48-13ae-6bc3-0d67-2c94c396b8a7,1.0422242951277858e-07
004b8cb9-d491-b3a9-b1f0-da4ca4df598c,0.0
004ce92b-73e9-b33c-a542-9eb9793b86cb,1.2346341249545102e-07
004dd717-443b-96ad-5ea6-b99f12fac0e5,0.0
004f7d1e-2e1f-211a-4f95-50b1f5078c56,0.0
0050673d-14cd-ae6c-74ab-146b0e73f5f7,0.0
00512295-30cd-2ec6-2ded-ea51b3aed16d,0.00011833336914415775
005172e8-ec7f-43a2-823f-420ad9aef096,0.0
0055c4cf-f4f2-836a-fc37-6952b1f69582,0.0
00564dd6-044f-aa03-5e1d-a1823a72c9df,6.248905173168703e-06
005719ac-048f-d424-c3b5-5b7b1c43142c,2.8011269895087726e-06
00572f97-a71a-912f-33ff-53e630513374,0.0
00580c29-1ead-bd39-f562-0f317c14144f,0.0
005cd524-e579-41f8-2dc1-807724321ea8,0.00014810502112306618
005cee33-07d2-81f9-c879-2dcf17e2d436,0.0
005d75dc-a3d9-e514-5193-21460a8f7875,0.00012873957096961626
005ef2ca-02e2-d769-4103-446a12c3a2ee,0.0
005f432b-f7a3-bdbb-7dac-380557174cab,0.0
005fda06-61cd-5d71-fade-e1b62a7d3227,0.0
006008cd-bfcc-420e-8579-ebe08964b516,0.0
00605494-0502-b7bb-4598-e43f3b5176f5,0.0
006211f2-7254-4586-3a0b-effd696cce1b,0.0
0063185a-810a-7ad7-b622-df70946558e2,0.0
0063e4d7-c82c-a315-1db0-44fef55cf320,2.9618485143931393e-05
0065793e-803e-e134-4ab4-a8429fa16a46,0.0
006644ac-6b71-8344-8e23-8d0744317029,0.0
0066571e-9ff0-3f58-0529-1e6533841792,8.089184654373037e-05
006685e2-fb79-1473-7ce9-9828995c53a2,0.0
0068beec-e350-0feb-3ec8-09c638e07b50,0.0
006b449a-5a0a-856e-bfdc-07f784aff382,5.9235596485819875e-05
006bc3d7-b061-a01c-3cea-bd015c97cf66,0.0
006cbe1f-0b1f-183d-ca52-875838d4a504,2.1277793244794822e-06
006d0b80-23fd-e6d6-b916-1fb3e39ecdee,5.238710656190341e-07
006e03c0-690c-b131-dba0-67adbeaae712,0.0
006f401f-0642-1563-3a6b-70948c2ba1c4,0.0
006fe9d1-1df3-f2e4-e3a7-49e7f65878e4,0.0
0070da44-2860-2901-9ace-4c633fb657b2,1.9223455008834954e-05
